Name,MemoryPosition,midiType,midiType_2nd,Note,Note_2nd,MaximumValue,MaximumValue_2nd,MinimumValue,MinimumValue_2nd,MidiChannel,MidiChannel_2nd,Toggle,Toggle_2nd,Keys,Keys_2nd,Modifiers,Modifiers_2nd,DMXAddress,DMXAddress_2nd,Page,Hide,posX,posY,shape,dimensionX,dimensionY,labeler,led,led_2nd,hint_message,User_byte_3,User_byte_4,User_byte_5,User_byte_6,User_byte_7,User_byte_8,User_byte_9,User_byte_10,User_byte_11,User_byte_12,User_byte_14
P1,9,2,2,25,25,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,119,225,2,38,41,1,24,24,Rotary potentiometer,0,0,0,0,0,0,0,0,0,0,0
P2,10,2,2,26,26,127,127,0,0,1,2,11,11,0,0,0,0,1,1,0,0,179,225,2,38,41,1,24,24,Rotary potentiometer,0,0,0,0,0,0,0,0,0,0,0
P3,12,2,2,27,27,127,127,0,0,1,2,11,11,0,0,0,0,2,2,0,0,241,225,2,38,41,1,24,24,Rotary potentiometer,0,0,0,0,0,0,0,0,0,0,0
P4,11,2,2,28,28,127,127,0,0,1,2,11,11,0,0,0,0,3,3,0,0,301,225,2,38,41,1,24,24,Rotary potentiometer,0,0,0,0,0,0,0,0,0,0,0
P5,14,2,2,29,29,127,127,0,0,1,2,11,11,0,0,0,0,4,4,0,0,119,284,2,38,41,1,24,24,Rotary potentiometer,0,0,0,0,0,0,0,0,0,0,0
P6,13,2,2,30,30,127,127,0,0,1,2,11,11,0,0,0,0,5,5,0,0,179,284,2,38,41,1,24,24,Rotary potentiometer,0,0,0,0,0,0,0,0,0,0,0
P7,15,2,2,31,31,127,127,0,0,1,2,11,11,0,0,0,0,6,6,0,0,241,284,2,38,41,1,24,24,Rotary potentiometer,0,0,0,0,0,0,0,0,0,0,0
P8,16,2,2,32,32,127,127,0,0,1,2,11,11,0,0,0,0,7,7,0,0,301,284,2,38,41,1,24,24,Rotary potentiometer,0,0,0,0,0,0,0,0,0,0,0
P9,25,2,2,33,33,127,127,0,0,1,2,11,11,0,0,0,0,8,8,0,0,361,225,2,38,41,1,24,24,Rotary potentiometer,0,0,0,0,0,0,0,0,0,0,0
P10,26,2,2,34,34,127,127,0,0,1,2,11,11,0,0,0,0,9,9,0,0,423,225,2,38,41,1,24,24,Rotary potentiometer,0,0,0,0,0,0,0,0,0,0,0
