Name,MemoryPosition,midiType,midiType_2nd,Note,Note_2nd,MaximumValue,MaximumValue_2nd,MinimumValue,MinimumValue_2nd,MidiChannel,MidiChannel_2nd,Toggle,Toggle_2nd,Keys,Keys_2nd,Modifiers,Modifiers_2nd,DMXAddress,DMXAddress_2nd,Page,Hide,posX,posY,shape,dimensionX,dimensionY,labeler,led,led_2nd,hint_message,User_byte_3,User_byte_4,User_byte_5,User_byte_6,User_byte_7,User_byte_8,User_byte_9,User_byte_10,User_byte_11,User_byte_12,User_byte_14
B20,40,0,0,79,38,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,301,462,1,37,40,1,20,20,Push button + LED,0,0,0,0,0,0,0,0,0,0,0
B21,48,0,0,80,50,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,118,525,1,37,40,1,24,24,Push button + LED,0,0,0,0,0,0,0,0,0,0,0
B22,47,0,0,81,54,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,178,525,1,37,40,1,23,23,Push button + LED,0,0,0,0,0,0,0,0,0,0,0
B23,46,0,0,82,56,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,240,525,1,37,40,1,22,22,Push button + LED,0,0,0,0,0,0,0,0,0,0,0
B24,45,0,0,83,59,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,301,525,1,37,40,1,21,21,Push button + LED,0,0,0,0,0,0,0,0,0,0,0
B26,43,0,0,85,85,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,38,240,1,62,65,1,0,0,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B27,44,0,0,86,86,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,30,435,1,62,65,1,0,0,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B25,50,0,0,102,102,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,30,540,1,57,60,1,0,0,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B28,56,0,0,88,88,127,127,0,0,1,2,1,1,0,0,1,0,1,1,0,0,139,157,1,57,60,1,0,0,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B29,55,0,0,89,89,127,127,0,0,1,2,1,1,0,0,0,0,2,2,0,0,259,157,1,57,60,1,0,0,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B30,54,0,0,90,90,127,127,0,0,1,2,1,1,0,0,0,0,3,3,0,0,381,157,1,57,60,1,0,0,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B31,53,0,0,91,91,127,127,0,0,1,2,1,1,0,0,0,0,4,4,0,0,503,157,1,57,60,1,0,0,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B32,51,0,0,87,87,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,358,525,1,57,60,1,0,0,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
J1,58,2,2,53,53,127,127,5,5,1,2,21,21,0,0,0,0,1,1,0,0,462,473,7,76,79,1,0,0,Side Spinner,0,0,0,0,0,0,0,0,0,0,0
T1,59,2,2,93,93,28,28,25,25,1,2,23,23,0,1,0,0,64,64,0,0,470,565,8,57,14,1,0,0,Touch sensor,0,0,0,0,0,0,0,0,0,0,0
JY,35,2,2,41,41,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,600,255,8,61,30,1,0,0,Joystick - Y axis,0,0,0,0,0,0,0,0,0,0,0
JX,34,2,2,42,42,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,600,210,8,61,30,1,0,0,Joystick - X axis,0,0,0,0,0,0,0,0,0,0,0
JB,36,0,0,92,92,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,600,300,8,61,30,1,0,0,Joystick - Push button,0,0,0,0,0,0,0,0,0,0,0
page,49,2,2,10,10,127,127,0,0,1,1,17,17,0,0,0,0,0,0,0,0,30,510,8,61,14,1,24,24,Page switch,0,0,0,0,0,0,0,0,0,0,0
Mouse,57,0,0,0,0,35,35,34,34,1,1,25,25,0,0,0,0,0,14,0,0,600,345,8,61,30,1,24,0,Mouse emulation,0,0,0,0,0,0,0,0,0,0,0
GENERAL,60,0,0,0,0,13,13,1,1,1,1,26,26,3,3,0,0,2,2,0,0,600,390,8,60,30,1,12,12,Circuit settings,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1024,600,,,,,,,,,,,,,,,
